gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak
2020R101,2020,1,2020-03-19,M.C.G.,7:40 PM,0,Richmond,105,Carlton,81,0.0,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16,0,0,0.0,0,0,0.0,3,16,7,7
2020R102,2020,1,2020-03-20,Docklands,7:50 PM,0,Western Bulldogs,34,Collingwood,86,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,0,0,0.0,0,0,0.0,7,4,7,7
2020R103,2020,1,2020-03-21,Docklands,2:10 PM,0,Essendon,63,Fremantle,57,0.4,2,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,13,0,0,0.0,0,0,0.0,8,13,7,7
2020R104,2020,1,2020-03-21,Adelaide Oval,4:35 PM,0,Adelaide,71,Sydney,74,0.0,0,0,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,15,0,0,0.0,0,0,0.0,11,15,7,7
2020R105,2020,1,2020-03-21,Carrara,6:40 PM,0,Gold Coast,29,Port Adelaide,76,0.0,0,0,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,10,0,0,0.0,0,0,0.0,18,10,7,7
2020R106,2020,1,2020-03-21,Sydney Showground,7:40 PM,0,Greater Western Sydney,105,Geelong,73,0.0,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0.0,0,0,0.0,6,1,7,7
2020R107,2020,1,2020-03-22,Docklands,1:05 PM,0,North Melbourne,56,St Kilda,54,0.2,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14,0,0,0.0,0,0,0.0,12,14,7,7
2020R108,2020,1,2020-03-22,M.C.G.,3:35 PM,0,Hawthorn,90,Brisbane Lions,62,0.2,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0,0,0.0,0,0,0.0,9,2,7,7
2020R109,2020,1,2020-03-22,Perth Stadium,3:40 PM,0,West Coast,78,Melbourne,51,0.0,2,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17,0,0,0.0,0,0,0.0,5,17,7,7
2020R201,2020,2,2020-06-11,M.C.G.,7:40 PM,0,Collingwood,36,Richmond,36,0.0,1,1,1,0,0,1,2,57,-12,-46.0,-58.875,70.95454545454545,70.63636363636364,76.10037878787877,68.64545454545454,75.74563492063493,68.59911616161617,4,3,86,34,252.9411765,105,81,129.6296296,2,6,83,84
