gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2012R101,2012,1,2012-03-24,Stadium Australia,7:20 PM,38203,Greater Western Sydney,37,Sydney,100,0.0,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,0,0,0.0,0,0,0.0,18,7
2012R102,2012,1,2012-03-29,M.C.G.,7:45 PM,78285,Richmond,81,Carlton,125,0.0,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,0,0,0.0,0,0,0.0,12,5
2012R103,2012,1,2012-03-30,M.C.G.,7:50 PM,78466,Hawthorn,137,Collingwood,115,0.0,2,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0.0,0,0,0.0,3,1
2012R104,2012,1,2012-03-31,M.C.G.,1:45 PM,33473,Melbourne,78,Brisbane Lions,119,0.6,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,0,0,0.0,0,0,0.0,13,15
2012R105,2012,1,2012-03-31,Carrara,3:45 PM,12790,Gold Coast,68,Adelaide,137,0.0,0,False,False,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,14,0,0,0.0,0,0,0.0,17,14
2012R106,2012,1,2012-03-31,Subiaco,4:45 PM,34601,Fremantle,105,Geelong,101,0.0,2,False,False,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0,0,0.0,0,0,0.0,11,2
2012R107,2012,1,2012-03-31,Docklands,7:45 PM,45818,North Melbourne,102,Essendon,104,0.6,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,0,0,0.0,0,0,0.0,9,8
2012R108,2012,1,2012-04-01,Docklands,1:10 PM,24977,Western Bulldogs,87,West Coast,136,0.0,0,False,False,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0,0,0.0,0,0,0.0,10,4
2012R109,2012,1,2012-04-01,Football Park,4:10 PM,21179,Port Adelaide,89,St Kilda,85,0.0,2,False,False,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,0,0,0.0,0,0,0.0,16,6
2012R201,2012,2,2012-04-05,Gabba,7:40 PM,25913,Brisbane Lions,63,Carlton,154,0.0,0,True,True,3,0,1,0,27,0,0.0,0.0,57.56818181818182,75.18181818181819,64.79886363636363,76.4776515151515,67.31513347763348,74.51733405483405,15,5,119,78,152.5641026,125,81,154.3209877,5,4
2012R202,2012,2,2012-04-07,Docklands,1:45 PM,34118,Essendon,111,Port Adelaide,86,3.6,2,True,True,2,0,2,1,36,-37,-63.18333333333334,-51.75,71.11363636363636,66.25,70.73257575757576,68.63409090909092,72.444227994228,69.33860028860029,8,16,104,102,101.9607843,89,85,104.7058824,9,7
